City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Demyansk,RU,2022-04-26 06:37:08,57.643,32.466,42.71,91,100,6.67
97,Mastic Beach,US,2022-04-26 06:37:08,40.7668,-72.8521,52.54,79,100,8.99
98,Hilo,US,2022-04-26 06:37:09,19.7297,-155.09,74.28,97,100,6.91
99,Punta Arenas,CL,2022-04-26 06:37:09,-53.15,-70.9167,28.51,93,0,6.91
100,Severo-Kurilsk,RU,2022-04-26 06:37:10,50.6789,156.125,33.37,87,90,23.82
101,Pedernales,DO,2022-04-26 06:37:11,18.0384,-71.744,76.42,72,15,2.93
102,Nuuk,GL,2022-04-26 06:35:50,64.1835,-51.7216,30.81,74,75,23.02
103,Inhambane,MZ,2022-04-26 06:37:11,-23.865,35.3833,78.78,83,40,6.91
104,Tikhvin,RU,2022-04-26 06:37:12,59.6451,33.5294,40.21,97,100,3.85
105,Saint Anthony,US,2022-04-26 06:37:13,45.0205,-93.218,30.92,67,100,13.8
106,Ketchikan,US,2022-04-26 06:36:35,55.3422,-131.6461,42.78,89,100,4.7
107,Hwange,ZW,2022-04-26 06:37:13,-18.3693,26.5019,77.47,49,8,4.34
108,High Level,CA,2022-04-26 06:37:14,58.5169,-117.136,48.31,49,0,9.22
109,Genhe,CN,2022-04-26 06:37:15,50.7833,121.5167,42.42,29,100,11.21
110,Saskylakh,RU,2022-04-26 06:37:15,71.9167,114.0833,15.31,87,54,3.22
111,Te Anau,NZ,2022-04-26 06:37:16,-45.4167,167.7167,48.33,83,8,2.73
112,Gardez,AF,2022-04-26 06:37:16,33.5974,69.2259,69.69,13,49,6.46
113,Ixtapa,MX,2022-04-26 06:37:17,20.7,-105.2,73.22,81,0,2.59
114,Puerto Ayora,EC,2022-04-26 06:37:18,-0.7393,-90.3518,70.84,92,9,5.44
115,Armeria,MX,2022-04-26 06:37:18,18.9333,-103.9667,68.4,89,8,2.93
116,Kralendijk,BQ,2022-04-26 06:37:19,12.15,-68.2667,80.58,78,75,13.8
117,Bambous Virieux,MU,2022-04-26 06:37:19,-20.3428,57.7575,81.21,69,40,11.5
118,Shelburne,CA,2022-04-26 06:37:20,44.0787,-80.2041,45.36,81,100,11.23
119,Port Alfred,ZA,2022-04-26 06:34:02,-33.5906,26.891,60.19,77,0,4.0
120,Fairbanks,US,2022-04-26 06:35:32,64.8378,-147.7164,39.16,65,75,0.0
121,Lazaro Cardenas,MX,2022-04-26 06:37:21,17.9583,-102.2,72.09,82,15,2.46
122,Mar Del Plata,AR,2022-04-26 06:37:22,-38.0023,-57.5575,60.94,71,10,8.01
123,Katangli,RU,2022-04-26 06:37:22,51.7102,143.2326,31.19,82,100,13.89
124,Hermanus,ZA,2022-04-26 06:37:23,-34.4187,19.2345,59.32,71,54,5.41
125,Kirakira,SB,2022-04-26 06:37:24,-10.4544,161.9205,82.06,78,63,4.03
126,Svoronos,GR,2022-04-26 06:37:24,40.2644,22.46,63.54,47,0,3.29
127,Sinnamary,GF,2022-04-26 06:37:25,5.3833,-52.95,77.59,87,100,8.01
128,Isangel,VU,2022-04-26 06:37:25,-19.55,169.2667,75.31,73,100,5.75
129,Nikolskoye,RU,2022-04-26 06:37:26,59.7035,30.7861,46.8,74,26,7.11
130,La Rioja,ES,2022-04-26 06:37:26,42.25,-2.5,38.98,70,100,2.8
131,Porosozero,RU,2022-04-26 06:37:27,62.7191,32.727,39.2,91,100,4.36
132,Batman,TR,2022-04-26 06:37:28,37.8874,41.1322,69.6,60,75,2.3
133,Kupang,ID,2022-04-26 06:37:28,-10.1667,123.5833,84.92,55,100,2.93
134,Coahuayana,MX,2022-04-26 06:29:22,18.7333,-103.6833,68.52,86,14,3.0
135,Torrington,US,2022-04-26 06:37:29,41.8007,-73.1212,50.54,30,100,5.32
136,Portland,US,2022-04-26 06:35:29,45.5234,-122.6762,51.37,86,100,1.99
137,Rabo De Peixe,PT,2022-04-26 06:37:30,37.8,-25.5833,56.28,80,20,3.44
138,Petropavlovsk-Kamchatskiy,RU,2022-04-26 06:38:30,53.0452,158.6483,45.19,39,75,15.66
139,Iqaluit,CA,2022-04-26 06:38:31,63.7506,-68.5145,-13.27,77,0,3.44
140,Arman,RU,2022-04-26 06:38:32,59.7,150.1667,35.02,63,100,6.26
141,Abha,SA,2022-04-26 06:38:32,18.2164,42.5053,68.25,46,20,4.61
142,Harper,LR,2022-04-26 06:38:33,4.375,-7.7169,78.55,88,90,4.29
143,Bogotol,RU,2022-04-26 06:38:34,56.2078,89.5342,48.79,43,97,12.97
144,Coihaique,CL,2022-04-26 06:34:48,-45.5752,-72.0662,38.01,93,100,1.14
145,Ilave,PE,2022-04-26 06:38:34,-16.0833,-69.6667,38.12,66,77,1.23
146,Klamath Falls,US,2022-04-26 06:38:35,42.2249,-121.7817,44.96,79,40,9.22
147,Omboue,GA,2022-04-26 06:38:36,-1.5746,9.2618,79.99,84,100,2.86
148,Sorong,ID,2022-04-26 06:38:36,-0.8833,131.25,82.9,78,100,7.27
149,Joigny,FR,2022-04-26 06:38:37,47.9829,3.401,41.81,83,0,5.53
150,Sivas,TR,2022-04-26 06:38:37,39.7916,37.0019,63.23,36,0,9.22
151,Daru,PG,2022-04-26 06:38:38,-9.0763,143.2092,83.57,75,100,6.51
152,Longyearbyen,SJ,2022-04-26 06:38:38,78.2186,15.6401,-0.56,55,20,11.5
153,Nushki,PK,2022-04-26 06:38:39,29.5542,66.0215,90.97,8,19,8.48
154,Atar,MR,2022-04-26 06:38:40,20.5169,-13.0499,66.33,53,0,8.46
155,Hofn,IS,2022-04-26 06:38:41,64.2539,-15.2082,39.06,91,100,3.22
156,Kungurtug,RU,2022-04-26 06:38:43,50.5994,97.5228,39.09,38,100,1.66
157,Aleksandrov Gay,RU,2022-04-26 06:38:44,50.147,48.5704,68.09,48,68,13.8
158,Arrecife,ES,2022-04-26 06:38:45,28.963,-13.5477,64.38,72,40,9.22
159,Narsaq,GL,2022-04-26 06:38:45,60.9167,-46.05,37.62,94,100,3.44
160,Faanui,PF,2022-04-26 06:38:46,-16.4833,-151.75,82.18,72,99,14.38
161,Bengkulu,ID,2022-04-26 06:38:47,-3.8004,102.2655,85.68,63,92,7.0
162,Paamiut,GL,2022-04-26 06:38:48,61.994,-49.6678,29.95,86,100,6.93
163,Waipawa,NZ,2022-04-26 06:38:48,-41.4122,175.5153,52.0,86,0,2.42
164,Tura,IN,2022-04-26 06:38:49,25.5198,90.2201,91.18,46,0,7.34
165,Aksarka,RU,2022-04-26 06:38:50,66.5606,67.7975,31.08,94,95,6.29
166,Rehburg-Loccum,DE,2022-04-26 06:38:51,52.4667,9.2,48.31,90,20,0.0
167,Zheleznodorozhnyy,RU,2022-04-26 06:38:51,55.7503,38.0042,57.22,63,100,3.44
168,Dhidhdhoo,MV,2022-04-26 06:38:52,6.8833,73.1,85.1,69,93,5.12
169,Aklavik,CA,2022-04-26 06:38:53,68.2191,-135.0107,31.35,99,100,5.86
170,Dera Ghazi Khan,PK,2022-04-26 06:38:54,30.0561,70.6348,106.14,8,1,6.29
171,Srisailam,IN,2022-04-26 06:38:54,16.0833,78.8667,104.41,16,1,6.04
172,Sciacca,IT,2022-04-26 06:38:55,37.5082,13.0881,68.65,54,26,3.31
173,Lompoc,US,2022-04-26 06:38:56,34.6391,-120.4579,53.02,86,100,18.99
174,Huntsville,US,2022-04-26 06:38:56,34.7304,-86.5861,64.15,96,100,10.36
175,Marrakesh,MA,2022-04-26 06:38:57,31.6315,-8.0083,57.27,72,40,4.61
176,Egvekinot,RU,2022-04-26 06:35:19,66.3167,-179.1667,15.89,86,100,8.61
177,Rocha,UY,2022-04-26 06:38:58,-34.4833,-54.3333,64.31,98,100,2.95
178,Xining,CN,2022-04-26 06:38:58,36.6167,101.7667,69.3,22,49,6.73
179,Pochutla,MX,2022-04-26 06:38:59,15.7432,-96.4661,77.83,72,0,1.99
180,Beeville,US,2022-04-26 06:38:59,28.4008,-97.7483,65.62,94,100,10.36
181,Norman Wells,CA,2022-04-26 06:39:00,65.282,-126.8329,37.44,70,75,3.44
182,Broken Hill,AU,2022-04-26 06:40:00,-31.95,141.4333,60.51,94,75,16.11
183,Grand Baie,MU,2022-04-26 06:40:01,-20.0182,57.5802,81.45,65,0,8.01
184,Parral,MX,2022-04-26 06:40:02,26.9333,-105.6667,57.72,79,5,1.97
185,Ostrovnoy,RU,2022-04-26 06:40:03,68.0531,39.5131,30.72,87,100,22.15
