City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
194,Fare,PF,81.97,-16.7,-151.0167,Maitai Lapita Village Huahine
197,Nioro,GM,77.25,13.35,-15.75,
223,Puerto Madero,MX,81.61,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
224,Auki,SB,80.71,-8.7676,160.7034,Auki Motel
228,Sampang,ID,84.76,-7.1872,113.2394,sekretariat IKA STAIN
229,Kavaratti,IN,85.78,10.5669,72.642,Hotels in Lakshadweep Islands
235,Salalah,OM,89.69,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
238,Le Vauclin,MQ,77.85,14.5452,-60.8388,Hôtel Cap Macabou
241,Bela Vista,BR,75.7,-22.1089,-56.5211,Bella Vista Palace Hotel
242,Kanniyakumari,IN,87.96,8.0833,77.5667,Sparsa Kanyakumari
243,Zhifang,CN,84.18,30.35,114.3167,Echarm Hotel Jiangxia Zhongbai Plaza
246,Bubaque,GW,77.47,11.2833,-15.8333,"Casa Dora, Bubaque"
247,Merauke,ID,84.09,-8.4667,140.3333,
250,Lorengau,PG,82.56,-2.0226,147.2712,Lorengau Harbourside Hotel
252,San Patricio,US,75.06,28.017,-97.5169,"Motel 6 Sinton, TX"
254,Port Blair,IN,86.04,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
259,Poum,NC,77.41,-20.2333,164.0167,
261,Abu Kamal,SY,80.89,34.4506,40.9171,محطة التلفاز
264,Souillac,MU,80.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
266,Fuyang,CN,83.26,32.9,115.8167,Fuyang Wanda Realm Hotel
269,Nanchang,CN,81.1,28.6833,115.8833,Ruidu Hotel
271,La Primavera,CO,80.1,5.4906,-70.4092,La Riviera Hotel Colonial
272,Axim,GH,80.17,4.8699,-2.2405,Axim Beach Resort And Spa
275,Abu Zabad,SD,88.02,12.35,29.25,حامد محمد نور
278,Labuan,MY,88.16,5.2767,115.2417,Tiara Labuan Hotel
280,Catuday,PH,86.22,16.2923,119.8062,Benjie's Kubo & Cottages
281,Victoria,HK,86.97,22.2855,114.1577,Mini Hotel Central
282,Moerai,PF,79.88,-22.4333,-151.3333,Le Manotel
283,Biak,ID,82.67,-0.9131,122.8766,Penginapan Kim
